director_id,name
2710,제임스 카메론
147021,S. S. 라자몰리
1318201,재러드 부시
76595,바이런 하워드
2103746,Emma Tammi
1293082,김병우
1234359,Tony Dean Smith
150150,민규동
98537,John Stalberg Jr.
91268,루벤 플레셔
1634181,Rich Lee
1294772,황병국
1283010,소토자키 하루오
145228,Jalmari Helander
65615,Wych Kaosayananda
2582846,Joey Palmroos
568322,댄 트랙턴버그
1452270,杨子
229180,Richard Gray
20307,요아킴 뢴닝
37948,Brad Anderson
67367,라이언 존슨
2156380,Randy Nundlall Jr.
3229005,Robert Livings
11090,에드가 라이트
1211000,Tom Gormican
54507,존 M. 추
116805,폴 피그
129938,Bruno Forzani
129937,Hélène Cattet
2281194,데스트리 스필버그
129561,조쉬 사프디
4762,폴 토마스 앤더슨
582827,Raja Collins
2188937,Benjamin Edelman
2188938,Manuel Camilion
1286723,요시하라 타츠야
20204,제임스 밴더빌트
567536,Ariel Winograd
1864582,David Freyne
10828,기예르모 델 토로
1214352,David Feiss
1763090,Cinzia Angelini
87877,로아르 우테우
4933702,손동완
165787,리치 무어
1628473,Tristan van Doorn
18878,Rob Cohen
79153,陆川
3003169,매기 강
1453550,크리스 아펠한스
70652,Derek Drymon
9033,크리스토퍼 맥쿼리
1752058,Rishab Shetty
2441956,김수진
2784807,고쇼조노 쇼타
2367353,饺子
59,뤽 베송
10965,크리스 콜럼버스
122423,요르고스 란티모스
2152816,Aditya Dhar
1212522,맷 샤크먼
17211,랜들 에멧
