movie_id,title,release_date,rating,vote_count
83533,아바타: 불과 재,2025-12-17,7.38,935
1511417,బాహుబలి: ది ఎపిక్,2025-10-29,7.636,11
1084242,주토피아 2,2025-11-26,7.6,858
1228246,프레디의 피자가게 2,2025-12-03,6.866,452
982843,대홍수,2025-09-18,6.116,359
1131759,전지적 독자 시점,2025-07-23,6.671,38
1512623,Risqué,2025-08-01,5.929,7
1247002,파과,2025-04-30,6.5,45
1439112,머즐: 시티 오브 울브스,2025-11-13,6.803,61
425274,나우 유 씨 미 3,2025-11-12,6.563,720
755898,우주전쟁,2025-07-29,4.239,806
1137179,야당,2025-04-16,7.0,26
1311031,극장판 귀멸의 칼날: 무한성편,2025-07-18,7.642,626
1223601,시수: 복수의 길,2025-10-21,7.5,366
1491902,ปัง,2025-07-11,6.288,33
76600,아바타: 물의 길,2022-12-14,7.605,13352
1336189,딜리버리 런,2025-09-10,5.522,23
1242898,프레데터: 죽음의 땅,2025-11-05,7.323,716
1419406,포풍추영,2025-08-16,6.7,184
1195518,언홀리 트리니티,2025-06-13,6.326,115
19995,아바타,2009-12-16,7.6,33091
533533,트론: 아레스,2025-10-08,6.601,852
1196067,Worldbreaker,2025-10-30,6.1,37
812583,나이브스 아웃: 웨이크 업 데드 맨,2025-11-26,7.219,1389
1206083,Conjuring Tapes,2025-04-10,4.182,11
798645,더 러닝 맨,2025-11-11,6.834,827
1234731,아나콘다,2025-12-24,6.744,78
967941,위키드: 포 굿,2025-11-19,6.729,544
1368166,하우스메이드,2025-12-18,7.573,117
1013446,리플렉션,2025-06-25,6.0,52
1103437,Please Don't Feed the Children,2025-07-03,6.5,43
1317288,마티 슈프림,2025-12-19,7.9,43
1054867,원 배틀 애프터 어나더,2025-09-23,7.47,2140
1387382,Hunting Season,2025-12-05,7.1,82
1015539,Santastein,2024-11-25,4.7,7
1218925,극장판 체인소 맨:  레제편,2025-09-19,8.285,528
1214931,뉘른베르크,2025-11-06,7.26,250
1589891,용자들의 시간,2025-12-18,7.852,54
1259102,영원,2025-11-26,7.075,201
1062722,프랑켄슈타인,2025-10-17,7.715,2446
756397,Hitpig!,2024-11-01,6.6,28
1180831,트롤의 습격 2,2025-11-30,6.615,323
1354700,강령: 귀신놀이,2025-08-06,7.1,19
269149,주토피아,2016-02-11,7.8,17396
1309129,Diabolisch,2025-09-29,10.0,1
7451,트리플 엑스,2002-08-09,5.979,4708
1033462,749局,2024-10-01,6.2,67
803796,케이팝 데몬 헌터스,2025-06-20,8.2,2118
991494,스폰지밥 무비: 네모바지를 찾아서,2025-12-16,6.726,31
575265,미션 임파서블: 파이널 레코닝,2025-05-17,7.234,2294
1083637,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,2025-10-01,7.019,54
1194963,노이즈,2025-06-25,6.294,34
1539104,극장판 주술회전: 시부야사변 X 사멸회유,2025-11-07,5.4,71
980477,나타지마동요해,2025-01-29,8.101,531
1246049,드라큘라: 어 러브 테일,2025-07-30,7.124,679
772,나 홀로 집에 2: 뉴욕을 헤매다,1992-11-15,6.775,10317
701387,부고니아,2025-10-23,7.415,989
1291608,धुरंधर,2025-12-05,6.315,124
617126,판타스틱 4: 새로운 출발,2025-07-23,7.005,2728
1149167,캐시 아웃 2,2025-03-14,6.569,94
